edge_id,fine_partition,coarse_partition,fine_components,coarse_components,merged_blocks
E061,P028,P000,2,1,0+1
E062,P029,P000,2,1,0+1
E063,P030,P001,3,2,0+1
E064,P030,P028,3,2,0+2
E065,P030,P029,3,2,1+2
E066,P031,P002,3,2,0+1
E067,P031,P025,3,2,0+2
E068,P031,P028,3,2,1+2
E069,P032,P002,3,2,0+1
E070,P032,P026,3,2,0+2
E071,P032,P029,3,2,1+2
E072,P033,P003,3,2,0+1
E073,P033,P025,3,2,0+2
E074,P033,P029,3,2,1+2
E075,P034,P004,4,3,0+1
E076,P034,P027,4,3,0+2
E077,P034,P030,4,3,1+2
E078,P034,P031,4,3,0+3
E079,P034,P032,4,3,1+3
E080,P034,P033,4,3,2+3
E081,P035,P005,3,2,0+1
E082,P035,P015,3,2,0+2
E083,P035,P025,3,2,1+2
E084,P036,P005,3,2,0+1
E085,P036,P016,3,2,0+2
E086,P036,P026,3,2,1+2
E087,P037,P006,3,2,0+1
E088,P037,P015,3,2,0+2
E089,P037,P026,3,2,1+2
E090,P038,P007,4,3,0+1
E091,P038,P017,4,3,0+2
E092,P038,P027,4,3,1+2
E093,P038,P035,4,3,0+3
E094,P038,P036,4,3,1+3
E095,P038,P037,4,3,2+3
E096,P039,P005,3,2,0+1
E097,P039,P018,3,2,0+2
E098,P039,P028,3,2,1+2
E099,P040,P005,3,2,0+1
E100,P040,P019,3,2,0+2
E101,P040,P029,3,2,1+2
E102,P041,P006,3,2,0+1
E103,P041,P018,3,2,0+2
E104,P041,P029,3,2,1+2
E105,P042,P007,4,3,0+1
E106,P042,P020,4,3,0+2
E107,P042,P030,4,3,1+2
E108,P042,P039,4,3,0+3
E109,P042,P040,4,3,1+3
E110,P042,P041,4,3,2+3
E111,P043,P008,3,2,0+1
E112,P043,P015,3,2,0+2
E113,P043,P028,3,2,1+2
E114,P044,P008,3,2,0+1
E115,P044,P016,3,2,0+2
E116,P044,P029,3,2,1+2
E117,P045,P009,3,2,0+1
E118,P045,P015,3,2,0+2
E119,P045,P029,3,2,1+2
E120,P046,P010,4,3,0+1
E121,P046,P017,4,3,0+2
E122,P046,P030,4,3,1+2
E123,P046,P043,4,3,0+3
E124,P046,P044,4,3,1+3
E125,P046,P045,4,3,2+3
E126,P047,P011,4,3,0+1
E127,P047,P021,4,3,0+2
E128,P047,P031,4,3,1+2
E129,P047,P035,4,3,0+3
E130,P047,P039,4,3,1+3
E131,P047,P043,4,3,2+3
E132,P048,P011,4,3,0+1
E133,P048,P022,4,3,0+2
E134,P048,P032,4,3,1+2
E135,P048,P036,4,3,0+3
E136,P048,P040,4,3,1+3
E137,P048,P044,4,3,2+3
E138,P049,P012,4,3,0+1
E139,P049,P021,4,3,0+2
E140,P049,P032,4,3,1+2
E141,P049,P037,4,3,0+3
E142,P049,P041,4,3,1+3
E143,P049,P045,4,3,2+3
E144,P050,P013,4,3,0+1
E145,P050,P023,4,3,0+2
E146,P050,P033,4,3,1+2
E147,P050,P035,4,3,0+3
E148,P050,P040,4,3,1+3
E149,P050,P045,4,3,2+3
E150,P051,P014,5,4,0+1
E151,P051,P024,5,4,0+2
E152,P051,P034,5,4,1+2
E153,P051,P038,5,4,0+3
E154,P051,P042,5,4,1+3
E155,P051,P046,5,4,2+3
E156,P051,P047,5,4,0+4
E157,P051,P048,5,4,1+4
E158,P051,P049,5,4,2+4
E159,P051,P050,5,4,3+4
E160,P052,P000,2,1,0+1
E161,P053,P000,2,1,0+1
E162,P054,P001,3,2,0+1
E163,P054,P052,3,2,0+2
E164,P054,P053,3,2,1+2
E165,P055,P000,2,1,0+1
E166,P056,P000,2,1,0+1
E167,P057,P001,3,2,0+1
E168,P057,P055,3,2,0+2
E169,P057,P056,3,2,1+2
E170,P058,P002,3,2,0+1
E171,P058,P052,3,2,0+2
E172,P058,P055,3,2,1+2
E173,P059,P002,3,2,0+1
E174,P059,P053,3,2,0+2
E175,P059,P056,3,2,1+2
E176,P060,P003,3,2,0+1
E177,P060,P052,3,2,0+2
E178,P060,P056,3,2,1+2
E179,P061,P004,4,3,0+1
E180,P061,P054,4,3,0+2
E181,P061,P057,4,3,1+2
E182,P061,P058,4,3,0+3
E183,P061,P059,4,3,1+3
E184,P061,P060,4,3,2+3
E185,P062,P000,2,1,0+1
E186,P063,P000,2,1,0+1
E187,P064,P001,3,2,0+1
