method,target_coverage,n,admitted,wrong,correct,coverage,wrong_all,wrong_admitted,correct_all
nested_evidential_composition,0.22,31200.0,6865.0,671.0,6194.0,0.22003205128205128,0.021506410256410258,0.09774217042971595,0.19852564102564102
nested_evidential_composition,0.23,31200.0,7177.0,754.0,6423.0,0.2300320512820513,0.024166666666666666,0.10505782360317681,0.20586538461538462
nested_evidential_composition,0.24,31200.0,7490.0,847.0,6643.0,0.24006410256410257,0.027147435897435897,0.1130841121495327,0.21291666666666667
nested_evidential_composition,0.25,31200.0,7801.0,935.0,6866.0,0.2500320512820513,0.02996794871794872,0.11985642866299193,0.22006410256410255
nested_evidential_composition,0.26,31200.0,8113.0,1084.0,7029.0,0.26003205128205126,0.034743589743589744,0.13361272032540367,0.22528846153846155
nested_evidential_composition,0.27,31200.0,8428.0,1282.0,7146.0,0.2701282051282051,0.04108974358974359,0.15211200759373517,0.22903846153846155
nested_evidential_composition,0.28,31200.0,8740.0,1509.0,7231.0,0.28012820512820513,0.048365384615384616,0.17265446224256292,0.23176282051282052
nested_evidential_composition,0.29,31200.0,9042.0,1741.0,7301.0,0.2898076923076923,0.05580128205128205,0.19254589692545898,0.23400641025641025
nested_evidential_composition,0.3,31200.0,9357.0,1988.0,7369.0,0.29990384615384613,0.06371794871794872,0.21246125895051832,0.23618589743589744
nested_evidential_composition,0.31,31200.0,9669.0,2249.0,7420.0,0.30990384615384614,0.07208333333333333,0.23259902782087083,0.2378205128205128
nested_evidential_composition,0.32,31200.0,9985.0,2515.0,7470.0,0.32003205128205126,0.08060897435897436,0.25187781672508763,0.23942307692307693
nested_evidential_composition,0.33,31200.0,10295.0,2814.0,7481.0,0.3299679487179487,0.0901923076923077,0.2733365711510442,0.23977564102564103
nested_evidential_composition,0.34,31200.0,10607.0,3099.0,7508.0,0.3399679487179487,0.09932692307692308,0.29216555105119263,0.24064102564102563
nested_evidential_composition,0.35,31200.0,10907.0,3376.0,7531.0,0.34958333333333336,0.1082051282051282,0.3095259924818924,0.24137820512820513
nested_evidential_composition,0.36,31200.0,11243.0,3678.0,7565.0,0.3603525641025641,0.11788461538461538,0.32713688517299655,0.24246794871794872
nested_evidential_composition,0.37,31200.0,11541.0,3946.0,7595.0,0.36990384615384614,0.12647435897435896,0.341911446148514,0.24342948717948718
nested_evidential_composition,0.38,31200.0,11854.0,4224.0,7630.0,0.37993589743589745,0.13538461538461538,0.35633541420617515,0.24455128205128204
nested_evidential_composition,0.39,31200.0,12159.0,4493.0,7666.0,0.38971153846153844,0.14400641025641026,0.36952051977958716,0.24570512820512821
nested_evidential_composition,0.4,31200.0,12493.0,4799.0,7694.0,0.40041666666666664,0.15381410256410255,0.38413511566477226,0.2466025641025641
nested_evidential_composition,0.41,31200.0,12788.0,5063.0,7725.0,0.40987179487179487,0.16227564102564102,0.3959180481701595,0.24759615384615385
nested_evidential_composition,0.42,31200.0,13106.0,5344.0,7762.0,0.42006410256410254,0.1712820512820513,0.40775217457652985,0.24878205128205128
nested_evidential_composition,0.43,31200.0,13420.0,5627.0,7793.0,0.43012820512820515,0.1803525641025641,0.41929955290611026,0.24977564102564104
nested_evidential_composition,0.44,31200.0,13714.0,5891.0,7823.0,0.4395512820512821,0.18881410256410255,0.42956103252151084,0.2507371794871795
nested_evidential_composition,0.45,31200.0,14043.0,6176.0,7867.0,0.45009615384615387,0.19794871794871796,0.43979206722210357,0.2521474358974359
nested_evidential_composition,0.46,31200.0,14347.0,6434.0,7913.0,0.4598397435897436,0.2062179487179487,0.44845612323133754,0.25362179487179487
nested_evidential_composition,0.47,31200.0,14667.0,6714.0,7953.0,0.47009615384615383,0.21519230769230768,0.4577623235835549,0.25490384615384615
nested_evidential_composition,0.48,31200.0,14730.0,6775.0,7955.0,0.4721153846153846,0.2171474358974359,0.45994568906992533,0.2549679487179487
nested_evidential_composition,0.49,31200.0,14730.0,6775.0,7955.0,0.4721153846153846,0.2171474358974359,0.45994568906992533,0.2549679487179487
nested_evidential_composition,0.5,31200.0,14730.0,6775.0,7955.0,0.4721153846153846,0.2171474358974359,0.45994568906992533,0.2549679487179487
nested_evidential_composition,0.51,31200.0,14730.0,6775.0,7955.0,0.4721153846153846,0.2171474358974359,0.45994568906992533,0.2549679487179487
nested_evidential_composition,0.52,31200.0,14730.0,6775.0,7955.0,0.4721153846153846,0.2171474358974359,0.45994568906992533,0.2549679487179487
nested_evidential_composition,0.53,31200.0,14730.0,6775.0,7955.0,0.4721153846153846,0.2171474358974359,0.45994568906992533,0.2549679487179487
