method,target,n,admitted,wrong,correct,coverage,wrong_all,correct_all,wrong_admitted
cautious_evidence_fusion,0.35,31200,10921,4687,6234,0.3500320512820513,0.15022435897435898,0.1998076923076923,0.4291731526416995
cautious_evidence_fusion,0.36,31200,11231,4878,6353,0.35996794871794874,0.15634615384615386,0.20362179487179488,0.4343335410916214
cautious_evidence_fusion,0.37,31200,11534,5074,6460,0.3696794871794872,0.16262820512820514,0.20705128205128207,0.4399167678168892
cautious_evidence_fusion,0.38,31200,11857,5265,6592,0.3800320512820513,0.16875,0.21128205128205127,0.4440414944758371
cautious_evidence_fusion,0.39,31200,12164,5452,6712,0.38987179487179485,0.17474358974358975,0.21512820512820513,0.44820782637290363
cautious_evidence_fusion,0.4,31200,12478,5673,6805,0.3999358974358974,0.18182692307692308,0.21810897435897436,0.45464016669338037
cautious_evidence_fusion,0.41,31200,12793,5916,6877,0.4100320512820513,0.1896153846153846,0.22041666666666668,0.4624403970921598
cautious_evidence_fusion,0.42,31200,13106,6174,6932,0.42006410256410254,0.19788461538461538,0.22217948717948718,0.4710819471997558
cautious_evidence_fusion,0.43,31200,13423,6425,6998,0.43022435897435896,0.20592948717948717,0.2242948717948718,0.47865603814348506
cautious_evidence_fusion,0.44,31200,13728,6677,7051,0.44,0.21400641025641026,0.22599358974358974,0.4863782051282051
cautious_evidence_fusion,0.45,31200,14032,6920,7112,0.44974358974358974,0.22179487179487178,0.22794871794871796,0.49315849486887114
cautious_evidence_fusion,0.46,31200,14348,7177,7171,0.45987179487179486,0.2300320512820513,0.2298397435897436,0.5002090883746864
